	f	round_system_type	timeout_seconds	wait_period_ms	wait_stagger_ms	thrifty_system	resend_phase1as_timer_period_ms	resend_phase2as_timer_period_ms	phase2a_max_buffer_size	phase2a_buffer_flush_period_ms	value_chosen_max_buffer_size	value_chosen_buffer_flush_period_ms	ping_period_ms	no_ping_timeout_min_ms	no_ping_timeout_max_ms	not_enough_votes_timeout_min_ms	not_enough_votes_timeout_max_ms	fail_period_ms	success_period_ms	num_retries	repropose_period_ms	network_delay_alpha	p90 throughput 1 second windows
0	3	1	60	352	3687	1	25608	22708	888	4182	9517472	2	10709	17102	27844	4109	24337	13926	11844	2	6497	0.9452032293990716	23018.0
1	3	1	60	12584	26729	1	24938	1863	681	14438	8120759	20	17640	13093	22360	128	6126	4200	25919	1	8506	0.4535172178996633	25448.0
2	3	0	60	26121	5188	0	4114	14915	728	4928	1045063	4	26077	13588	23600	13541	19386	28899	13389	2	18638	0.8433300821159908	21208.0
3	4	1	61	17706	13845	2	11977	23805	192	4927	4904312	28	26177	10222	27280	12589	18903	23745	14153	2	14437	0.8020554430840364	23909.2
4	3	0	61	25352	28630	2	11678	27160	688	4475	6538764	1	25790	2762	26388	16136	20118	15009	1575	2	9804	0.8343067577925162	27998.0
5	2	0	61	2834	29618	1	7938	9093	337	2000	2348124	5	27499	4210	12095	22042	22553	7245	6235	2	23823	0.14691668819529544	29971.0
6	4	0	61	8969	22528	0	27631	20953	32	3219	1944819	27	4231	15535	16097	11582	27034	8598	2139	1	25258	0.7695402942155338	15182.0
7	2	1	61	24569	19092	1	20649	15328	463	14767	3296598	8	631	5133	17023	2560	25469	11394	17242	3	8366	0.446704070016995	24286.0
8	3	1	61	21320	27711	0	15681	3408	62	7979	7160501	28	20559	2237	11197	15361	26509	19046	9490	1	5442	0.52205964977486	20468.8
9	2	0	61	7683	6570	1	27082	1767	278	14881	5272213	12	3041	5096	15857	1846	15503	2697	16418	1	5346	0.241768575915764	25105.0
10	2	0	60	15207	9358	1	24538	8142	704	27816	1736547	28	28349	925	22055	7804	29039	29811	19462	3	187	0.058366641647353196	25180.0
11	2	1	61	1608	29480	1	7930	9090	525	2982	2282169	4	27041	3873	12543	17665	19549	7241	6249	2	7558	0.5302630360204532	29738.0
12	5	0	61	18111	29680	1	10948	23776	621	8608	8859668	4	26136	7633	10740	9169	19204	14519	9611	2	16627	0.2459166730687799	21898.0
13	2	0	61	1345	29399	0	22409	11443	620	15137	7199366	1	19886	16548	20267	9358	24231	17307	7003	2	22360	0.4609221012357358	24467.0
14	2	1	61	14367	29226	1	23708	28896	272	8431	2425261	4	5678	6421	29904	21988	27785	14204	2530	2	14067	0.19070684554387082	25962.0
15	2	1	61	19585	24877	1	5827	17042	858	2397	3624763	4	11520	4896	27292	12719	13372	4687	6056	2	12257	0.09567386686757938	23033.0
16	2	0	61	8577	29894	1	16533	23334	46	26656	8032247	4	20764	273	13769	4242	21134	28710	2458	2	20395	0.6285045430430073	22136.0
17	2	0	61	5141	29998	2	12738	8543	381	7997	747672	4	16520	12762	13355	16831	25768	8497	15069	2	21116	0.6807888201966985	25538.0
18	2	1	61	1587	29842	1	8052	5608	458	9739	6042582	4	17693	20376	26452	14102	17128	8486	3631	2	697	0.8790451402516282	25475.0
19	2	1	61	21591	29977	2	21196	12217	434	7671	1178174	4	24059	14041	16249	7610	22534	8209	2065	2	24213	0.6212778996779458	23289.0
